user_id,ground_truth,recommendations,scores
587.0,[2997.0],"[593.0, 380.0, 4226.0, 1210.0, 3578.0, 592.0, 480.0, 153.0, 589.0, 150.0]","[2.075058937072754, 2.0416533946990967, 2.0081307888031006, 1.850775957107544, 1.831050157546997, 1.7967729568481445, 1.7902026176452637, 1.7850391864776611, 1.7660630941390991, 1.735782504081726]"
590.0,"[1086.0, 2291.0, 3578.0, 2300.0, 924.0]","[3578.0, 593.0, 380.0, 356.0, 4226.0, 1198.0, 1265.0, 480.0, 150.0, 592.0]","[2.071751117706299, 2.0594751834869385, 1.9019041061401367, 1.8824281692504883, 1.8266371488571167, 1.8201277256011963, 1.7897846698760986, 1.7433152198791504, 1.7409101724624634, 1.7328604459762573]"
339.0,"[7361.0, 92259.0, 139385.0, 1.0]","[380.0, 4226.0, 1210.0, 593.0, 3578.0, 480.0, 589.0, 150.0, 1265.0, 153.0]","[2.145716428756714, 2.0594961643218994, 1.928350567817688, 1.906419038772583, 1.8640586137771606, 1.8585705757141113, 1.831800937652588, 1.7685630321502686, 1.7625725269317627, 1.751651406288147]"
160.0,"[1183.0, 903.0]","[4226.0, 3578.0, 380.0, 480.0, 1210.0, 153.0, 589.0, 527.0, 592.0, 3793.0]","[2.0287928581237793, 2.004925012588501, 1.992201566696167, 1.8939669132232666, 1.881945013999939, 1.849007487297058, 1.7568367719650269, 1.7299273014068604, 1.725606083869934, 1.7138922214508057]"
584.0,"[110.0, 196.0]","[380.0, 593.0, 4226.0, 3578.0, 1210.0, 153.0, 592.0, 589.0, 356.0, 527.0]","[2.0054914951324463, 1.9748215675354004, 1.9729845523834229, 1.907607078552246, 1.8199068307876587, 1.8061237335205078, 1.7476732730865479, 1.7324806451797485, 1.7100162506103516, 1.7006938457489014]"
19.0,[353.0],"[3578.0, 593.0, 356.0, 1198.0, 4886.0, 153.0, 4226.0, 1387.0, 589.0, 1265.0]","[2.135120391845703, 1.9277480840682983, 1.9213789701461792, 1.848732829093933, 1.8070940971374512, 1.7607946395874023, 1.7403751611709595, 1.711645483970642, 1.7028229236602783, 1.6735230684280396]"
275.0,"[1747.0, 246.0, 39.0]","[4226.0, 593.0, 380.0, 3578.0, 153.0, 1198.0, 1210.0, 480.0, 589.0, 592.0]","[1.9852443933486938, 1.9782344102859497, 1.9225287437438965, 1.8134911060333252, 1.807088017463684, 1.8003064393997192, 1.7855428457260132, 1.769221544265747, 1.708886981010437, 1.6962296962738037]"
261.0,[4963.0],"[593.0, 380.0, 4226.0, 3578.0, 1210.0, 480.0, 153.0, 592.0, 589.0, 356.0]","[2.010148525238037, 1.982039213180542, 1.9593662023544312, 1.940008521080017, 1.8248515129089355, 1.7928249835968018, 1.785292625427246, 1.7816437482833862, 1.7404056787490845, 1.7122745513916016]"
68.0,"[1704.0, 1258.0, 4963.0, 5620.0, 3448.0, 16.0]","[380.0, 1198.0, 4226.0, 1210.0, 589.0, 480.0, 208.0, 47.0, 3793.0, 592.0]","[2.093404531478882, 2.0142314434051514, 2.0019943714141846, 1.9306857585906982, 1.8701212406158447, 1.8232616186141968, 1.821657657623291, 1.757063627243042, 1.7421969175338745, 1.7320069074630737]"
325.0,[],"[4226.0, 593.0, 3578.0, 480.0, 153.0, 1210.0, 589.0, 592.0, 527.0, 1198.0]","[1.9693167209625244, 1.9521087408065796, 1.926112413406372, 1.8052124977111816, 1.7909361124038696, 1.7780201435089111, 1.7402279376983643, 1.7196314334869385, 1.7042940855026245, 1.7034329175949097]"
73.0,[3793.0],"[380.0, 4226.0, 593.0, 3578.0, 1210.0, 153.0, 480.0, 592.0, 589.0, 356.0]","[1.9553825855255127, 1.937654972076416, 1.9365938901901245, 1.9046441316604614, 1.8098572492599487, 1.798180341720581, 1.7870265245437622, 1.7684763669967651, 1.7248845100402832, 1.7041373252868652]"
194.0,[],"[3578.0, 593.0, 380.0, 4226.0, 1210.0, 153.0, 356.0, 592.0, 480.0, 589.0]","[2.0079965591430664, 1.9907739162445068, 1.9636499881744385, 1.9332275390625, 1.8051191568374634, 1.7863656282424927, 1.7777702808380127, 1.7751888036727905, 1.7733564376831055, 1.7292180061340332]"
135.0,"[161.0, 858.0, 3175.0, 2502.0, 141.0]","[380.0, 592.0, 3578.0, 1210.0, 318.0, 480.0, 589.0, 527.0, 260.0, 1721.0]","[2.0957846641540527, 1.9070448875427246, 1.9070017337799072, 1.839048981666565, 1.7879951000213623, 1.7740381956100464, 1.7440627813339233, 1.7421125173568726, 1.7398223876953125, 1.7280076742172241]"
326.0,[2692.0],"[593.0, 380.0, 4226.0, 1210.0, 480.0, 153.0, 589.0, 592.0, 150.0, 356.0]","[2.064818859100342, 1.9911130666732788, 1.975687861442566, 1.8257173299789429, 1.8144586086273193, 1.773512363433838, 1.757834792137146, 1.7368193864822388, 1.721361756324768, 1.6986438035964966]"
599.0,"[628.0, 2797.0, 1704.0]","[153.0, 1210.0, 1193.0, 1206.0, 356.0, 527.0, 3578.0, 457.0, 1387.0, 589.0]","[1.8749408721923828, 1.8238568305969238, 1.8196974992752075, 1.767842173576355, 1.7596805095672607, 1.7380658388137817, 1.7197331190109253, 1.7145607471466064, 1.6228692531585693, 1.5455666780471802]"
239.0,"[588.0, 1089.0]","[593.0, 4226.0, 380.0, 3578.0, 1210.0, 592.0, 589.0, 260.0, 480.0, 153.0]","[2.0958786010742188, 1.992204189300537, 1.9726862907409668, 1.8946839570999146, 1.85921311378479, 1.8420192003250122, 1.7873872518539429, 1.7710440158843994, 1.768439531326294, 1.753169059753418]"
42.0,"[1500.0, 4262.0, 1210.0, 1285.0]","[4226.0, 593.0, 3578.0, 380.0, 1210.0, 480.0, 318.0, 589.0, 1721.0, 356.0]","[2.1020615100860596, 2.083057165145874, 2.0458011627197266, 2.010603427886963, 1.874488353729248, 1.8443520069122314, 1.7694125175476074, 1.7642719745635986, 1.7498204708099365, 1.7327605485916138]"
303.0,[1240.0],"[3578.0, 593.0, 380.0, 4226.0, 1210.0, 356.0, 153.0, 592.0, 480.0, 589.0]","[2.0273845195770264, 2.0045552253723145, 1.9734938144683838, 1.9371898174285889, 1.7967218160629272, 1.7956054210662842, 1.784274697303772, 1.7683589458465576, 1.7638882398605347, 1.7322006225585938]"
404.0,[500.0],"[380.0, 593.0, 4226.0, 3578.0, 1210.0, 153.0, 480.0, 592.0, 589.0, 356.0]","[1.9944278001785278, 1.9844791889190674, 1.9634201526641846, 1.9273271560668945, 1.8100794553756714, 1.809188961982727, 1.8025938272476196, 1.7791380882263184, 1.7332764863967896, 1.7181636095046997]"
292.0,"[3623.0, 587.0, 59315.0, 2353.0]","[380.0, 593.0, 4226.0, 3578.0, 1721.0, 1210.0, 480.0, 592.0, 589.0, 150.0]","[2.044461488723755, 2.033608913421631, 1.9949109554290771, 1.9505717754364014, 1.8382376432418823, 1.8067810535430908, 1.8059943914413452, 1.793779969215393, 1.7675929069519043, 1.7400554418563843]"
199.0,[],"[3578.0, 380.0, 593.0, 4226.0, 592.0, 356.0, 153.0, 480.0, 589.0, 527.0]","[1.9806050062179565, 1.9481749534606934, 1.923608422279358, 1.912581443786621, 1.828267216682434, 1.8156338930130005, 1.7931698560714722, 1.7642145156860352, 1.6976356506347656, 1.6803290843963623]"
294.0,[],"[593.0, 380.0, 4226.0, 3578.0, 1210.0, 592.0, 480.0, 153.0, 1721.0, 589.0]","[2.0196399688720703, 1.9572973251342773, 1.938492774963379, 1.8995517492294312, 1.8277175426483154, 1.7953736782073975, 1.775816798210144, 1.7699856758117676, 1.7363712787628174, 1.726672649383545]"
28.0,"[1201.0, 858.0, 55820.0, 1584.0]","[593.0, 4226.0, 380.0, 592.0, 1210.0, 589.0, 527.0, 480.0, 356.0, 153.0]","[2.0659940242767334, 2.0022716522216797, 1.9346204996109009, 1.8401408195495605, 1.8254518508911133, 1.8225504159927368, 1.7808886766433716, 1.776490569114685, 1.7695884704589844, 1.7336267232894897]"
242.0,[],"[593.0, 380.0, 3578.0, 4226.0, 1210.0, 153.0, 480.0, 592.0, 589.0, 356.0]","[1.9877469539642334, 1.9766514301300049, 1.9536511898040771, 1.9428563117980957, 1.8186200857162476, 1.7935069799423218, 1.7822167873382568, 1.7780030965805054, 1.7396422624588013, 1.7315442562103271]"
357.0,[11.0],"[593.0, 380.0, 4226.0, 1210.0, 3578.0, 592.0, 480.0, 527.0, 260.0, 356.0]","[2.03920316696167, 1.9940478801727295, 1.9511102437973022, 1.9438704252243042, 1.9387708902359009, 1.9208719730377197, 1.7976830005645752, 1.7712430953979492, 1.768136978149414, 1.7416222095489502]"
166.0,"[3000.0, 1580.0, 1234.0]","[380.0, 593.0, 4226.0, 3578.0, 480.0, 153.0, 592.0, 589.0, 356.0, 527.0]","[2.01254940032959, 1.9927270412445068, 1.9742399454116821, 1.959967851638794, 1.8222196102142334, 1.8190771341323853, 1.7581409215927124, 1.7479385137557983, 1.712254524230957, 1.7005881071090698]"
398.0,[1207.0],"[3578.0, 593.0, 380.0, 4226.0, 356.0, 153.0, 1210.0, 480.0, 592.0, 589.0]","[2.048628807067871, 1.9574495553970337, 1.928236961364746, 1.9084246158599854, 1.8461726903915405, 1.8126462697982788, 1.7938191890716553, 1.7726985216140747, 1.7394804954528809, 1.715269923210144]"
