user_id,ground_truth,recommendations,scores
522.0,"[50.0, 59315.0]","[356.0, 527.0, 5418.0, 377.0, 457.0, 2959.0, 480.0, 260.0, 79132.0, 1.0]","[2.0599305629730225, 1.9679945707321167, 1.8968666791915894, 1.867471694946289, 1.8245351314544678, 1.7563070058822632, 1.7543584108352661, 1.7295832633972168, 1.7138737440109253, 1.674114465713501]"
369.0,[4226.0],"[356.0, 527.0, 5418.0, 377.0, 457.0, 2959.0, 480.0, 79132.0, 260.0, 1.0]","[2.075026750564575, 1.9592190980911255, 1.914241075515747, 1.8736227750778198, 1.8420422077178955, 1.7603875398635864, 1.7391093969345093, 1.7128982543945312, 1.697062611579895, 1.6775312423706055]"
64.0,[4993.0],"[356.0, 527.0, 1210.0, 457.0, 47.0, 1.0, 480.0, 5418.0, 7438.0, 2628.0]","[2.0722222328186035, 2.004039764404297, 1.763397455215454, 1.7601851224899292, 1.7238075733184814, 1.7224853038787842, 1.7194490432739258, 1.704084873199463, 1.6998507976531982, 1.6994471549987793]"
483.0,"[1080.0, 273.0, 2424.0, 1196.0]","[356.0, 377.0, 5418.0, 457.0, 527.0, 47.0, 1210.0, 1206.0, 1.0, 79132.0]","[2.1154696941375732, 2.0543923377990723, 1.8900010585784912, 1.8758156299591064, 1.8529897928237915, 1.7588958740234375, 1.703787088394165, 1.6960328817367554, 1.6615374088287354, 1.650104284286499]"
18.0,"[1617.0, 1196.0, 1721.0, 858.0]","[356.0, 527.0, 457.0, 2959.0, 5418.0, 1206.0, 592.0, 318.0, 79132.0, 480.0]","[1.971765398979187, 1.9587607383728027, 1.857850193977356, 1.8160851001739502, 1.787176489830017, 1.7192590236663818, 1.7160990238189697, 1.7029145956039429, 1.7007999420166016, 1.6999602317810059]"
136.0,[],"[356.0, 527.0, 5418.0, 377.0, 457.0, 2959.0, 260.0, 480.0, 79132.0, 1.0]","[2.0698280334472656, 1.977079153060913, 1.9066838026046753, 1.8822954893112183, 1.808905005455017, 1.7806475162506104, 1.7580291032791138, 1.7443959712982178, 1.713171124458313, 1.678366780281067]"
327.0,[1193.0],"[356.0, 527.0, 5418.0, 377.0, 457.0, 2959.0, 260.0, 480.0, 79132.0, 1.0]","[2.0695879459381104, 1.9816251993179321, 1.9424400329589844, 1.8724660873413086, 1.8704848289489746, 1.805882453918457, 1.7905672788619995, 1.7664275169372559, 1.739192247390747, 1.6444768905639648]"
27.0,[1210.0],"[356.0, 527.0, 5418.0, 377.0, 457.0, 2959.0, 480.0, 260.0, 79132.0, 1.0]","[2.0648748874664307, 1.9913233518600464, 1.9167970418930054, 1.8799210786819458, 1.8271604776382446, 1.8167155981063843, 1.7701588869094849, 1.757520079612732, 1.7158629894256592, 1.6688297986984253]"
602.0,"[337.0, 474.0]","[356.0, 527.0, 5418.0, 377.0, 457.0, 480.0, 2959.0, 79132.0, 260.0, 1.0]","[2.0498130321502686, 1.9775245189666748, 1.9120287895202637, 1.8745217323303223, 1.8398253917694092, 1.758973479270935, 1.7540661096572876, 1.7369941473007202, 1.7134848833084106, 1.6738117933273315]"
177.0,"[3623.0, 520.0, 64957.0, 154.0, 2716.0]","[356.0, 527.0, 260.0, 2959.0, 457.0, 79132.0, 480.0, 377.0, 780.0, 110.0]","[2.1506054401397705, 2.032745599746704, 1.9574373960494995, 1.9076218605041504, 1.7758017778396606, 1.770877718925476, 1.7683231830596924, 1.742483139038086, 1.7003810405731201, 1.6125324964523315]"
