user_id,ground_truth,recommendations,scores
587.0,[2997.0],"[500.0, 248.0, 1036.0, 227.0, 207.0, 145.0, 3755.0, 1704.0, 110.0, 1222.0]","[3.09000301361084, 2.830369234085083, 2.639315605163574, 2.457059383392334, 2.397371292114258, 2.222792863845825, 2.1738932132720947, 2.001891851425171, 1.9378260374069214, 1.9140537977218628]"
590.0,"[1086.0, 2291.0, 3578.0, 2300.0, 924.0]","[122900.0, 116823.0, 1265.0, 2001.0, 6753.0, 742.0, 1219.0, 256.0, 2459.0, 802.0]","[2.8961682319641113, 2.6202924251556396, 2.5753493309020996, 2.572567939758301, 2.3808345794677734, 2.2834885120391846, 2.2436635494232178, 2.2326712608337402, 2.2179360389709473, 2.1959662437438965]"
339.0,"[7361.0, 92259.0, 139385.0, 1.0]","[38061.0, 54286.0, 72998.0, 3745.0, 480.0, 89745.0, 364.0, 68954.0, 2424.0, 590.0]","[2.989959478378296, 2.832583427429199, 2.819734811782837, 2.417755126953125, 2.344085454940796, 1.982306957244873, 1.925173282623291, 1.9039126634597778, 1.887963056564331, 1.8283720016479492]"
160.0,"[1183.0, 903.0]","[153.0, 78499.0, 592.0, 48.0, 736.0, 2959.0, 2770.0, 1261.0, 3893.0, 3578.0]","[2.8056938648223877, 2.4741549491882324, 2.4717459678649902, 2.312720537185669, 2.196702003479004, 2.1042449474334717, 2.0879862308502197, 2.0049118995666504, 1.8107417821884155, 1.7374910116195679]"
584.0,"[110.0, 196.0]","[161.0, 110.0, 539.0, 376.0, 204.0, 105.0, 185.0, 432.0, 253.0, 11.0]","[3.0144174098968506, 2.7713088989257812, 2.757246971130371, 2.6132965087890625, 2.5445451736450195, 2.5106306076049805, 2.4721033573150635, 2.465416193008423, 2.193665027618408, 2.07159686088562]"
19.0,[353.0],"[1097.0, 150.0, 595.0, 168.0, 592.0, 2355.0, 1028.0, 3263.0, 2723.0, 2011.0]","[2.560392379760742, 2.211521625518799, 1.8558070659637451, 1.842208981513977, 1.741827368736267, 1.5841232538223267, 1.5452498197555542, 1.4764217138290405, 1.4717072248458862, 1.4018778800964355]"
275.0,"[1747.0, 246.0, 39.0]","[89864.0, 2791.0, 6377.0, 3173.0, 1285.0, 317.0, 500.0, 3175.0, 1136.0, 2471.0]","[2.7110517024993896, 2.5670433044433594, 2.129424571990967, 2.106154203414917, 1.9993559122085571, 1.9596455097198486, 1.8694919347763062, 1.7432836294174194, 1.736517071723938, 1.7307300567626953]"
261.0,[4963.0],"[1206.0, 48780.0, 36.0, 61024.0, 805.0, 4973.0, 4447.0, 70286.0, 5445.0, 5679.0]","[2.6967570781707764, 2.633877992630005, 2.1791985034942627, 2.0888073444366455, 2.0071499347686768, 1.749804139137268, 1.6547040939331055, 1.5836682319641113, 1.4537317752838135, 1.4170578718185425]"
68.0,"[1704.0, 1258.0, 4963.0, 5620.0, 3448.0, 16.0]","[2572.0, 4963.0, 36.0, 5989.0, 88163.0, 6537.0, 1148.0, 1047.0, 553.0, 261.0]","[2.875363349914551, 2.7824389934539795, 2.6378259658813477, 2.4565868377685547, 2.4238364696502686, 2.3701751232147217, 2.324275016784668, 2.279625654220581, 2.195364236831665, 2.1422038078308105]"
325.0,[],"[1084.0, 909.0, 127198.0, 1125.0, 2640.0, 6539.0, 1252.0, 54286.0, 5903.0, 733.0]","[2.5608673095703125, 2.539641857147217, 2.2551522254943848, 2.0836918354034424, 1.9642438888549805, 1.9505194425582886, 1.9334826469421387, 1.832676887512207, 1.815859079360962, 1.7740023136138916]"
73.0,[3793.0],"[4993.0, 318.0, 7438.0, 5989.0, 1393.0, 2640.0, 1215.0, 3671.0, 1580.0, 25.0]","[3.512695789337158, 3.4724795818328857, 2.6966257095336914, 2.643571376800537, 2.642911911010742, 2.314652919769287, 2.2774860858917236, 2.114469528198242, 2.1109535694122314, 2.09696626663208]"
194.0,[],"[5060.0, 1214.0, 1183.0, 593.0, 3735.0, 1694.0, 3706.0, 1617.0, 1079.0, 2366.0]","[2.0608279705047607, 1.9664902687072754, 1.9067233800888062, 1.8283960819244385, 1.676459550857544, 1.6563849449157715, 1.6428372859954834, 1.5801043510437012, 1.3907115459442139, 1.3520538806915283]"
135.0,"[161.0, 858.0, 3175.0, 2502.0, 141.0]","[293.0, 837.0, 45.0, 786.0, 1387.0, 5971.0, 27193.0, 2572.0, 2396.0, 1266.0]","[4.684109210968018, 3.7791810035705566, 2.938638210296631, 2.6076455116271973, 2.2503929138183594, 2.208561658859253, 2.198591470718384, 2.005748987197876, 2.0002992153167725, 1.9974961280822754]"
326.0,[2692.0],"[1288.0, 79132.0, 142488.0, 1200.0, 84152.0, 8798.0, 5349.0, 4223.0, 1374.0, 3996.0]","[3.9753384590148926, 3.013134002685547, 2.575127601623535, 2.299365520477295, 2.155904769897461, 2.1222033500671387, 1.9512954950332642, 1.9382179975509644, 1.8814934492111206, 1.8445969820022583]"
599.0,"[628.0, 2797.0, 1704.0]","[122904.0, 1219.0, 778.0, 10.0, 185.0, 106489.0, 350.0, 2701.0, 832.0, 94959.0]","[3.0234932899475098, 2.8511276245117188, 2.434391736984253, 2.398500442504883, 2.3849034309387207, 2.3018226623535156, 2.298039436340332, 2.22334361076355, 2.151546001434326, 2.122830629348755]"
239.0,"[588.0, 1089.0]","[1287.0, 79132.0, 168252.0, 53000.0, 1372.0, 46578.0, 73017.0, 783.0, 44199.0, 8961.0]","[3.2390997409820557, 2.777827262878418, 2.579378843307495, 2.444499969482422, 2.238107681274414, 2.1374270915985107, 2.113583564758301, 1.952470064163208, 1.9254711866378784, 1.809240460395813]"
42.0,"[1500.0, 4262.0, 1210.0, 1285.0]","[6787.0, 318.0, 276.0, 45722.0, 430.0, 1196.0, 648.0, 474.0, 2542.0, 1250.0]","[2.87960147857666, 2.8047173023223877, 2.567178964614868, 2.5022997856140137, 2.327086925506592, 2.2653489112854004, 2.2587242126464844, 2.2163476943969727, 2.090581178665161, 2.058816909790039]"
303.0,[1240.0],"[1206.0, 2081.0, 3671.0, 595.0, 7361.0, 1348.0, 2657.0, 4995.0, 2797.0, 474.0]","[2.685513496398926, 2.494971513748169, 2.2526183128356934, 2.2011163234710693, 2.0312509536743164, 2.0145182609558105, 1.9601079225540161, 1.9477354288101196, 1.7071064710617065, 1.6738038063049316]"
404.0,[500.0],"[225.0, 350.0, 432.0, 454.0, 252.0, 539.0, 151.0, 256.0, 292.0, 196.0]","[2.653398275375366, 2.586275100708008, 2.225332021713257, 2.1663825511932373, 2.035799741744995, 1.930957555770874, 1.9028892517089844, 1.8759381771087646, 1.8029710054397583, 1.7936644554138184]"
292.0,"[3623.0, 587.0, 59315.0, 2353.0]","[367.0, 1196.0, 912.0, 112552.0, 108190.0, 1358.0, 90866.0, 2947.0, 905.0, 1219.0]","[2.5156428813934326, 2.3930459022521973, 2.3545615673065186, 2.172231674194336, 2.1631336212158203, 2.1597466468811035, 2.044548273086548, 2.025503635406494, 1.905804991722107, 1.8350343704223633]"
199.0,[],"[27773.0, 4896.0, 7153.0, 6502.0, 2329.0, 79132.0, 1201.0, 1625.0, 50.0, 780.0]","[2.81970477104187, 2.8166513442993164, 2.6270265579223633, 2.2783327102661133, 2.069026231765747, 2.042980194091797, 2.024247407913208, 1.9632505178451538, 1.7329394817352295, 1.7298561334609985]"
294.0,[],"[3147.0, 56145.0, 1945.0, 103688.0, 1258.0, 2396.0, 434.0, 6016.0, 2291.0, 2987.0]","[2.973597288131714, 2.7856714725494385, 2.5812289714813232, 2.4762473106384277, 2.374160051345825, 2.3515803813934326, 2.1376848220825195, 2.0188755989074707, 1.9807559251785278, 1.926722764968872]"
28.0,"[1201.0, 858.0, 55820.0, 1584.0]","[1287.0, 527.0, 356.0, 76093.0, 329.0, 4896.0, 142488.0, 2006.0, 2565.0, 33794.0]","[3.0625903606414795, 2.820939540863037, 2.6259853839874268, 2.175699472427368, 2.1167545318603516, 2.0296576023101807, 1.9092817306518555, 1.8486452102661133, 1.766251802444458, 1.705305814743042]"
