user_id,ground_truth,recommendations,scores
522.0,"[50.0, 59315.0]","[52287.0, 223.0, 2571.0, 903.0, 253.0, 47.0, 5378.0, 122918.0, 8784.0, 55820.0]","[2.657658100128174, 2.622469186782837, 2.2922205924987793, 2.1530697345733643, 2.0429797172546387, 1.848296880722046, 1.8443849086761475, 1.7907620668411255, 1.7644706964492798, 1.7433409690856934]"
369.0,[4226.0],"[3039.0, 3114.0, 5810.0, 68157.0, 46578.0, 1097.0, 35836.0, 1947.0, 1150.0, 1682.0]","[2.800354480743408, 2.0662801265716553, 1.8408265113830566, 1.6138767004013062, 1.6034307479858398, 1.591459035873413, 1.5791200399398804, 1.5421820878982544, 1.4956729412078857, 1.4034576416015625]"
64.0,[4993.0],"[49272.0, 1250.0, 6539.0, 673.0, 1203.0, 2791.0, 838.0, 1387.0, 376.0, 2395.0]","[3.569293737411499, 2.5001070499420166, 2.456341505050659, 2.4284887313842773, 2.3284528255462646, 2.2596404552459717, 2.244917631149292, 2.244126081466675, 2.1797544956207275, 2.1796507835388184]"
483.0,"[1080.0, 273.0, 2424.0, 1196.0]","[1029.0, 1276.0, 2395.0, 1265.0, 46578.0, 780.0, 5952.0, 1089.0, 377.0, 1387.0]","[3.4495575428009033, 2.5683329105377197, 2.4098081588745117, 2.361450433731079, 2.3348283767700195, 2.292886972427368, 2.1629831790924072, 2.0941872596740723, 2.092768907546997, 2.0145626068115234]"
18.0,"[1617.0, 1196.0, 1721.0, 858.0]","[47629.0, 1923.0, 58.0, 5.0, 923.0, 1148.0, 39183.0, 1917.0, 1222.0, 89745.0]","[2.8902478218078613, 2.798435926437378, 2.615962505340576, 2.494262218475342, 2.3881120681762695, 2.3819069862365723, 2.316410779953003, 2.283806085586548, 2.2466676235198975, 2.235567092895508]"
136.0,[],"[329.0, 5378.0, 1356.0, 7360.0, 1339.0, 5608.0, 2716.0, 1208.0, 1909.0, 32587.0]","[3.661626100540161, 2.368708610534668, 2.2233729362487793, 2.0812125205993652, 2.0679781436920166, 2.060750961303711, 2.0388107299804688, 2.018861770629883, 2.005516290664673, 2.0036323070526123]"
327.0,[1193.0],"[1210.0, 1079.0, 92259.0, 52973.0, 2161.0, 3686.0, 49286.0, 1207.0, 3578.0, 590.0]","[3.088092565536499, 2.5288517475128174, 2.4172890186309814, 2.296158790588379, 2.1228599548339844, 2.1192424297332764, 2.093383312225342, 1.9862549304962158, 1.9603726863861084, 1.9564898014068604]"
27.0,[1210.0],"[8961.0, 1291.0, 647.0, 1208.0, 2858.0, 599.0, 154.0, 3893.0, 265.0, 1345.0]","[3.087541103363037, 2.155932903289795, 2.0952236652374268, 1.5410670042037964, 1.4568471908569336, 1.43235445022583, 1.4135342836380005, 1.4099736213684082, 1.4007457494735718, 1.3972536325454712]"
602.0,"[337.0, 474.0]","[597.0, 357.0, 292.0, 10.0, 555.0, 339.0, 353.0, 225.0, 4226.0, 435.0]","[3.396777629852295, 2.266599416732788, 2.0941383838653564, 2.009005546569824, 1.8049098253250122, 1.7714111804962158, 1.7594521045684814, 1.625934362411499, 1.609466791152954, 1.6015602350234985]"
177.0,"[3623.0, 520.0, 64957.0, 154.0, 2716.0]","[454.0, 5679.0, 47099.0, 1219.0, 1302.0, 899.0, 58559.0, 7438.0, 339.0, 5965.0]","[3.7781224250793457, 3.201050043106079, 2.8860585689544678, 2.7396533489227295, 2.387925386428833, 2.309349775314331, 2.28289532661438, 2.2674546241760254, 2.239480495452881, 2.234635591506958]"
