user_id,ground_truth,recommendations,scores
587.0,[2997.0],"[500.0, 248.0, 1036.0, 207.0, 227.0, 3072.0, 145.0, 3755.0, 1704.0, 110.0]","[3.1275835037231445, 2.806642770767212, 2.522911787033081, 2.277040481567383, 2.27217698097229, 2.185580015182495, 2.1828501224517822, 2.168304204940796, 2.037848472595215, 1.997806191444397]"
590.0,"[1086.0, 2291.0, 3578.0, 2300.0, 924.0]","[122900.0, 1265.0, 2001.0, 116823.0, 6753.0, 256.0, 742.0, 2459.0, 802.0, 1219.0]","[2.8189685344696045, 2.6926534175872803, 2.5650618076324463, 2.5356662273406982, 2.348690986633301, 2.325147867202759, 2.207432270050049, 2.135956287384033, 2.130558490753174, 2.1281065940856934]"
339.0,"[7361.0, 92259.0, 139385.0, 1.0]","[38061.0, 54286.0, 72998.0, 480.0, 3745.0, 364.0, 162578.0, 68954.0, 89745.0, 2424.0]","[2.857304334640503, 2.7752695083618164, 2.7053494453430176, 2.4389808177948, 2.389021873474121, 2.218151092529297, 2.04901123046875, 2.015613555908203, 1.9376728534698486, 1.882861852645874]"
160.0,"[1183.0, 903.0]","[153.0, 592.0, 78499.0, 48.0, 736.0, 1261.0, 2770.0, 2959.0, 45.0, 509.0]","[2.759950637817383, 2.4649851322174072, 2.446615219116211, 2.2763309478759766, 2.169642686843872, 2.061567783355713, 2.0267395973205566, 2.0157227516174316, 1.9107606410980225, 1.8679558038711548]"
584.0,"[110.0, 196.0]","[161.0, 110.0, 539.0, 376.0, 185.0, 432.0, 204.0, 105.0, 253.0, 276.0]","[2.9179532527923584, 2.8235490322113037, 2.6357688903808594, 2.598804473876953, 2.454796075820923, 2.422908067703247, 2.4187495708465576, 2.36858868598938, 2.124077081680298, 2.074378252029419]"
19.0,[353.0],"[1097.0, 150.0, 595.0, 592.0, 168.0, 1028.0, 2355.0, 4886.0, 2723.0, 2011.0]","[2.4967827796936035, 2.2592060565948486, 1.8132739067077637, 1.7679941654205322, 1.743000864982605, 1.6444109678268433, 1.5852800607681274, 1.496376395225525, 1.4850873947143555, 1.4662227630615234]"
275.0,"[1747.0, 246.0, 39.0]","[89864.0, 2791.0, 3173.0, 6377.0, 317.0, 1285.0, 500.0, 2471.0, 3175.0, 1136.0]","[2.728440046310425, 2.563199043273926, 2.137329578399658, 2.039571523666382, 1.9473074674606323, 1.9005802869796753, 1.7847189903259277, 1.7666494846343994, 1.7648893594741821, 1.7301692962646484]"
261.0,[4963.0],"[1206.0, 48780.0, 36.0, 61024.0, 805.0, 4973.0, 4447.0, 70286.0, 253.0, 5445.0]","[2.720132350921631, 2.5895843505859375, 2.199903964996338, 2.0374157428741455, 1.8042442798614502, 1.7401678562164307, 1.6100153923034668, 1.5881458520889282, 1.4931477308273315, 1.4288183450698853]"
68.0,"[1704.0, 1258.0, 4963.0, 5620.0, 3448.0, 16.0]","[2572.0, 4963.0, 36.0, 5989.0, 88163.0, 6537.0, 1148.0, 553.0, 261.0, 1047.0]","[2.7577786445617676, 2.717048168182373, 2.6401607990264893, 2.525444507598877, 2.398115634918213, 2.3584420680999756, 2.240800142288208, 2.1682639122009277, 2.1624186038970947, 2.149763345718384]"
325.0,[],"[1084.0, 909.0, 127198.0, 1125.0, 2640.0, 1252.0, 6539.0, 733.0, 54286.0, 5903.0]","[2.543830394744873, 2.5156068801879883, 2.2312309741973877, 2.0859925746917725, 2.0035507678985596, 1.9847790002822876, 1.9678914546966553, 1.8950276374816895, 1.8780746459960938, 1.795985221862793]"
