user_id,ground_truth,recommendations,scores
522.0,"[50.0, 59315.0]","[223.0, 52287.0, 2571.0, 903.0, 253.0, 5378.0, 47.0, 8784.0, 55820.0, 4306.0]","[2.7679383754730225, 2.5629498958587646, 2.2977592945098877, 2.090719223022461, 1.9832522869110107, 1.9047008752822876, 1.855103611946106, 1.790086269378662, 1.7563707828521729, 1.7216105461120605]"
369.0,[4226.0],"[3039.0, 3114.0, 5810.0, 68157.0, 1097.0, 1682.0, 46578.0, 35836.0, 1150.0, 1947.0]","[2.784353256225586, 2.0602400302886963, 1.7986679077148438, 1.6252899169921875, 1.625131607055664, 1.5913983583450317, 1.5578819513320923, 1.5453399419784546, 1.520778775215149, 1.5203031301498413]"
64.0,[4993.0],"[49272.0, 1250.0, 6539.0, 1203.0, 2791.0, 1387.0, 673.0, 2395.0, 376.0, 838.0]","[3.448854923248291, 2.5038414001464844, 2.436460256576538, 2.381157875061035, 2.330472469329834, 2.281440019607544, 2.24027419090271, 2.176365375518799, 2.12672758102417, 2.1141839027404785]"
483.0,"[1080.0, 273.0, 2424.0, 1196.0]","[1029.0, 1276.0, 1265.0, 2395.0, 46578.0, 1089.0, 1387.0, 780.0, 5952.0, 377.0]","[3.4147839546203613, 2.529339075088501, 2.413625717163086, 2.39833927154541, 2.310762643814087, 2.2334465980529785, 2.18766188621521, 2.1726906299591064, 2.1527750492095947, 1.9897276163101196]"
18.0,"[1617.0, 1196.0, 1721.0, 858.0]","[47629.0, 1923.0, 58.0, 5.0, 1148.0, 923.0, 1222.0, 39183.0, 410.0, 1917.0]","[2.7143001556396484, 2.6795032024383545, 2.554297924041748, 2.416978120803833, 2.4055533409118652, 2.333301544189453, 2.32074236869812, 2.320253372192383, 2.247326612472534, 2.241605281829834]"
136.0,[],"[329.0, 5378.0, 1356.0, 32587.0, 7360.0, 2716.0, 1208.0, 1339.0, 5608.0, 1909.0]","[3.4645802974700928, 2.3773233890533447, 2.224517345428467, 2.210792303085327, 2.1089112758636475, 2.0991370677948, 2.0984983444213867, 2.086461067199707, 2.0681753158569336, 2.0671463012695312]"
327.0,[1193.0],"[1079.0, 92259.0, 1210.0, 52973.0, 3578.0, 49286.0, 1449.0, 2161.0, 590.0, 610.0]","[2.609140157699585, 2.5984609127044678, 2.48136305809021, 2.3322150707244873, 2.1144349575042725, 2.0946013927459717, 2.077096939086914, 2.075251579284668, 2.068115711212158, 1.9824668169021606]"
27.0,[1210.0],"[8961.0, 1291.0, 647.0, 2858.0, 1208.0, 599.0, 154.0, 3893.0, 265.0, 1345.0]","[3.1100010871887207, 2.168226718902588, 2.048720359802246, 1.4910019636154175, 1.4417963027954102, 1.4215503931045532, 1.411414623260498, 1.3937522172927856, 1.3604761362075806, 1.349525809288025]"
602.0,"[337.0, 474.0]","[597.0, 357.0, 292.0, 10.0, 353.0, 555.0, 339.0, 4226.0, 435.0, 225.0]","[3.3483266830444336, 2.225841522216797, 2.145066976547241, 1.9648621082305908, 1.7890565395355225, 1.770351767539978, 1.687612533569336, 1.665622591972351, 1.6270203590393066, 1.494467854499817]"
177.0,"[3623.0, 520.0, 64957.0, 154.0, 2716.0]","[454.0, 5679.0, 47099.0, 1302.0, 1219.0, 7438.0, 58559.0, 3798.0, 899.0, 339.0]","[3.5478427410125732, 3.196556329727173, 2.7231502532958984, 2.4653210639953613, 2.4483184814453125, 2.3349645137786865, 2.2829813957214355, 2.2207722663879395, 2.205711603164673, 2.2035813331604004]"
