user_id,ground_truth,recommendations,scores
587.0,[2997.0],"[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 6.0, 920.0]","[4.9674394069297705, 4.8805939455050975, 4.830736144387629, 4.78302455553785, 4.760174483875744, 4.7535699547152035, 4.700852068810491, 4.700559401942883, 4.6967690186575055, 4.692583520198241]"
590.0,"[1086.0, 2291.0, 3578.0, 2300.0, 924.0]","[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 6.0, 1234.0]","[4.462802906753495, 4.37208306370303, 4.323194826720282, 4.280215617734939, 4.254092606250197, 4.2457121551269665, 4.1943200782407075, 4.194121392501984, 4.187660883180797, 4.163824939052574]"
339.0,"[7361.0, 92259.0, 139385.0, 1.0]","[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 920.0, 6.0]","[4.626151938689873, 4.53693554396159, 4.490749860997312, 4.443005579698365, 4.418734040460549, 4.409135457593948, 4.358312626660336, 4.357274075126043, 4.3547312647569925, 4.354053104529157]"
160.0,"[1183.0, 903.0]","[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 441.0, 4993.0, 920.0, 6.0]","[4.018436899641529, 3.927297109243227, 3.881666907342151, 3.8336385822331067, 3.81031869535218, 3.8043978691566736, 3.748467759345658, 3.7477416289038956, 3.743424335087184, 3.7411832388024777]"
584.0,"[110.0, 196.0]","[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 6.0, 920.0]","[5.0230568496044725, 4.936336180719081, 4.889959478809033, 4.843121733400039, 4.819821155164391, 4.808897413895465, 4.7594490211922675, 4.758535299100913, 4.753190513030859, 4.749665729585104]"
19.0,[353.0],"[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 920.0, 6.0]","[3.6253018298884854, 3.53483322635293, 3.4903291943483055, 3.442283287527971, 3.420888909837231, 3.409528532763943, 3.358799430192448, 3.357032815925777, 3.350554054341046, 3.350402913056314]"
275.0,"[1747.0, 246.0, 39.0]","[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 6.0, 920.0]","[4.670000338228419, 4.5833627006504685, 4.536101977108046, 4.486406611773418, 4.461827228195034, 4.451105605112389, 4.401779989362694, 4.400831904436927, 4.398338868748397, 4.396060555212898]"
261.0,[4963.0],"[1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 6.0, 920.0, 1234.0]","[4.917860686109634, 4.871823037043214, 4.8247869240585715, 4.801576294004917, 4.792403772386024, 4.739422279060818, 4.738736374024484, 4.735036164987832, 4.733082395308884, 4.70784288138384]"
68.0,"[1704.0, 1258.0, 4963.0, 5620.0, 3448.0, 16.0]","[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 920.0, 1234.0, 79132.0]","[4.563352608005516, 4.47456496336963, 4.4292620059568435, 4.381869074422866, 4.354603701969609, 4.347766062885057, 4.2952255378477275, 4.287503930740058, 4.266759390477091, 4.24563819123432]"
325.0,[],"[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 6.0, 920.0]","[4.252499188325601, 4.163908668793738, 4.117430222217536, 4.070251644501695, 4.047491830511717, 4.0383665360859595, 3.987508390331641, 3.9839643692830577, 3.981291743417387, 3.9779902381123975]"
73.0,[3793.0],"[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 6.0, 920.0]","[5.037343448610045, 4.9516946281073615, 4.903671904961811, 4.855517340824008, 4.834640376968309, 4.824308324372396, 4.773161849705502, 4.772550468042027, 4.768705916474573, 4.766254125162959]"
194.0,[],"[318.0, 1276.0, 1089.0, 1213.0, 2571.0, 527.0, 4993.0, 441.0, 6.0, 920.0]","[4.606810936420516, 4.5182805883068795, 4.470604059577454, 4.422962709621061, 4.401370922190836, 4.394445659243502, 4.341580015374348, 4.339319821618119, 4.334883522067685, 4.333634601804079]"
135.0,"[161.0, 858.0, 3175.0, 2502.0, 141.0]","[318.0, 1276.0, 1089.0, 1213.0, 527.0, 441.0, 4993.0, 920.0, 6.0, 1234.0]","[4.807828543242067, 4.7112267962656915, 4.670660516363569, 4.619496132479981, 4.5949935438111424, 4.540815642569214, 4.534816022962332, 4.532704317360185, 4.532067690975964, 4.5079371616011485]"
