user_id,ground_truth,recommendations,scores
522.0,"[50.0, 59315.0]","[750.0, 1206.0, 1198.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.718601786108183, 4.670985449831777, 4.670859242395226, 4.620226204932395, 4.61759222218693, 4.6155530025267115, 4.584962282983314, 4.569836316148711, 4.561077385077214, 4.559371233872797]"
369.0,[4226.0],"[750.0, 1206.0, 1198.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.092108094204876, 4.043941370515812, 4.042421418022558, 3.990440591513605, 3.9891413728314986, 3.9858562404538573, 3.957403488543194, 3.939291833854939, 3.9337555416409926, 3.929954442383449]"
64.0,[4993.0],"[750.0, 1206.0, 1198.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.645444278618514, 4.59926693183529, 4.599228184508819, 4.546183929500829, 4.544235927182443, 4.541496263655562, 4.514578466724332, 4.495531734005043, 4.4875132590446345, 4.486946172850866]"
483.0,"[1080.0, 273.0, 2424.0, 1196.0]","[750.0, 1198.0, 1206.0, 912.0, 318.0, 1219.0, 1387.0, 1617.0, 2858.0, 4973.0]","[4.174358207803879, 4.128494038841881, 4.128231819499478, 4.075466706372525, 4.075016036977603, 4.074891169394094, 4.04371703437805, 4.019262046391804, 4.015993683844998, 4.003940140317853]"
18.0,"[1617.0, 1196.0, 1721.0, 858.0]","[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.50410113450066, 4.459315366299551, 4.459252792132746, 4.406311812707417, 4.40510794227025, 4.405005687337097, 4.375422509458575, 4.356126090765018, 4.34703384655454, 4.34596878834286]"
136.0,[],"[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.824344766441344, 4.777995689203225, 4.776409972646933, 4.724221827475548, 4.723414735474352, 4.721946738964606, 4.691628085404362, 4.675212497719757, 4.668812750910137, 4.663949165331859]"
327.0,[1193.0],"[750.0, 1198.0, 1206.0, 912.0, 318.0, 1219.0, 1387.0, 7438.0, 2858.0, 1617.0]","[5.2652087883457614, 5.2177054871267945, 5.21699780227077, 5.165695263435326, 5.164708920243855, 5.164703796368984, 5.133760138602655, 5.116462976044703, 5.10612814554638, 5.1058042642676345]"
27.0,[1210.0],"[750.0, 1198.0, 1206.0, 318.0, 1219.0, 912.0, 1387.0, 7438.0, 2858.0, 1617.0]","[3.871243793821621, 3.8254366212773205, 3.822920454504627, 3.7742479581634583, 3.773777150620434, 3.772897996691016, 3.7419391034186886, 3.7236833436023047, 3.7150679922911407, 3.7132486555042745]"
602.0,"[337.0, 474.0]","[750.0, 1198.0, 1206.0, 1219.0, 912.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.339820659092355, 4.291206542823192, 4.290312443756692, 4.239469980543207, 4.239359525511235, 4.236805085280638, 4.20470835485189, 4.1897297177479675, 4.179698694335956, 4.179535478483148]"
177.0,"[3623.0, 520.0, 64957.0, 154.0, 2716.0]","[750.0, 1206.0, 1198.0, 1219.0, 318.0, 912.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.3823600230521595, 4.334171608394671, 4.331773205731723, 4.28127393599293, 4.280640386931326, 4.2804444695271275, 4.248041288241938, 4.230427681656282, 4.222310360126857, 4.220976818788175]"
17.0,[1213.0],"[750.0, 1198.0, 1206.0, 1219.0, 912.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.4339448376108965, 4.38721742395005, 4.386856846582804, 4.335329379026506, 4.335037272356702, 4.332556891966805, 4.300856019907359, 4.284922830133427, 4.277106728869102, 4.274479259342614]"
580.0,"[1127.0, 4973.0, 924.0, 5445.0, 6365.0, 2600.0]","[750.0, 1206.0, 1198.0, 1219.0, 912.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.792514483050171, 4.747238060356311, 4.74723453570782, 4.694890558674659, 4.693932778913721, 4.69199323830121, 4.661120164919838, 4.6449374504868945, 4.6362319329830814, 4.63469749763185]"
19.0,[1270.0],"[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 2858.0, 4973.0]","[4.0892209801373145, 4.0464753497640675, 4.0455436420875674, 3.992726332346636, 3.99183560583201, 3.9898307164244655, 3.9601601359450327, 3.9419533764144474, 3.933048239049229, 3.9188048087076353]"
141.0,[99114.0],"[750.0, 1206.0, 1198.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 2858.0, 1617.0]","[4.591565882101849, 4.545500567545377, 4.544989351720277, 4.493746000413511, 4.492339519506048, 4.491812489474386, 4.459277121217882, 4.4411077817917874, 4.433823438432727, 4.433031397244621]"
166.0,"[10.0, 2396.0, 2947.0, 2918.0]","[750.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0, 4973.0]","[4.494716434403516, 4.447913706403186, 4.395377259569203, 4.3952334843475445, 4.395209931839917, 4.364463030199248, 4.345120978729527, 4.3382005076405665, 4.333980263747934, 4.322956530681539]"
362.0,[318.0],"[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.963700351958822, 4.915650312249044, 4.915148901155179, 4.862742299256341, 4.862524129696384, 4.859835883615732, 4.829835992712605, 4.814952956816841, 4.80470829467099, 4.8032259503511785]"
608.0,"[51662.0, 3300.0, 6502.0, 3081.0]","[750.0, 1198.0, 1206.0, 1219.0, 912.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.032153206192151, 3.98529403640582, 3.985024765205297, 3.933264845937218, 3.93138722157032, 3.9285015034970896, 3.899258915599192, 3.884147337709281, 3.8760982014487566, 3.8703389745920034]"
334.0,"[2571.0, 5618.0]","[750.0, 1206.0, 318.0, 1219.0, 912.0, 1387.0, 7438.0, 1617.0, 2858.0, 4973.0]","[4.172600641568851, 4.124604600087467, 4.074035462878372, 4.073942892674085, 4.073636851082982, 4.042307052599925, 4.024371053971253, 4.016110737093685, 4.013371738036357, 4.001012841136388]"
474.0,"[919.0, 150.0, 2006.0, 2941.0, 1639.0, 29.0, 7371.0, 45720.0, 421.0]","[750.0, 1206.0, 1198.0, 1219.0, 318.0, 1387.0, 7438.0, 2858.0, 1617.0, 4973.0]","[4.2349883929842225, 4.191875973554987, 4.189577049792705, 4.13789973857506, 4.134961411894027, 4.105841741735775, 4.0876007674365145, 4.079365170632217, 4.078831517390926, 4.063274935628714]"
253.0,[],"[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.726647629182979, 4.678100766219858, 4.675834867476214, 4.626656996797964, 4.626633849008202, 4.624637643819868, 4.595679669595983, 4.577233872636997, 4.567188669067535, 4.566843567767636]"
223.0,[260.0],"[750.0, 1206.0, 1198.0, 912.0, 318.0, 1219.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.336463204510936, 4.288998182410568, 4.288757975168254, 4.236570682797309, 4.235760914466072, 4.23485873087934, 4.2039413154130205, 4.186819624198096, 4.177098974656973, 4.176477484010819]"
294.0,[],"[750.0, 1198.0, 1206.0, 318.0, 912.0, 1219.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.206078332221795, 4.161573906616967, 4.1608104864267705, 4.107356443839807, 4.1073046621009315, 4.1069310163862145, 4.072377707414988, 4.060003850796919, 4.050444208739053, 4.047666038850865]"
195.0,"[1466.0, 608.0]","[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.289304256627064, 4.2420420241092405, 4.240889191582527, 4.189988533222776, 4.188593640849421, 4.187265984650866, 4.156746264327511, 4.1399882175160645, 4.131348322420807, 4.1304562883001825]"
273.0,[],"[750.0, 1198.0, 1206.0, 912.0, 318.0, 1219.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.539988058923472, 4.494362833282638, 4.493711927395042, 4.4407595086509435, 4.4405457881062365, 4.439247371962255, 4.407343824989356, 4.389922627261102, 4.382082039920123, 4.379629455636449]"
232.0,"[3809.0, 296.0, 4886.0]","[750.0, 1198.0, 1206.0, 318.0, 912.0, 1219.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.288185305710202, 4.241588996307245, 4.240819945187967, 4.189962563642029, 4.189651270293824, 4.189247667511653, 4.157581041987713, 4.140411010432716, 4.129998638424285, 4.129008641872632]"
190.0,[5816.0],"[750.0, 1206.0, 1198.0, 1219.0, 318.0, 912.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.603309800774285, 4.5566142313314675, 4.5550881714576, 4.504578373699177, 4.504104227131892, 4.5018860051191485, 4.471968363227051, 4.452934226325441, 4.446844073083911, 4.443536877354335]"
588.0,[175.0],"[750.0, 1206.0, 1198.0, 912.0, 318.0, 1219.0, 1387.0, 7438.0, 1617.0, 2858.0]","[3.763462477144047, 3.717566281512107, 3.7167453287534484, 3.6634448618847713, 3.6633203367951395, 3.6624402334114605, 3.631509944809794, 3.6142115537063986, 3.6056982514478917, 3.6030185147670166]"
105.0,"[68237.0, 4262.0, 5378.0]","[750.0, 1198.0, 1206.0, 912.0, 318.0, 1219.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.285163329752821, 4.240461818305038, 4.236767143548194, 4.1869007192567995, 4.185426778144164, 4.185207766785014, 4.152858071566287, 4.136217312842335, 4.1295262961780725, 4.12704069285296]"
221.0,"[1219.0, 3996.0, 5902.0]","[750.0, 1198.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0, 4973.0]","[4.651725437796403, 4.603323562709692, 4.550990249974847, 4.550583784481704, 4.546831238154981, 4.518025253126824, 4.500329288609054, 4.49204987390708, 4.491284758971732, 4.477198775885471]"
560.0,"[1208.0, 8917.0, 54286.0]","[750.0, 1198.0, 1206.0, 318.0, 912.0, 1219.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.1673851991786695, 4.121246285051301, 4.120653370059289, 4.067840809801554, 4.067008548487637, 4.066780443723973, 4.0369054771277195, 4.019543092641287, 4.013167744341034, 4.008744328470629]"
404.0,[],"[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.52685382765644, 4.4795432779779265, 4.479000881414821, 4.425859916619219, 4.425261360140711, 4.4241476839657015, 4.393036817679375, 4.377111090898824, 4.368554477050155, 4.3669885377008075]"
429.0,[],"[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.616826629104752, 4.571181292775281, 4.5691178418479, 4.519082217315871, 4.517423407489831, 4.515596080817476, 4.48208249018221, 4.4677822590588665, 4.4591093749755135, 4.456516405289721]"
160.0,"[1019.0, 1748.0]","[750.0, 1198.0, 1206.0, 1219.0, 912.0, 318.0, 1387.0, 7438.0, 2858.0, 1617.0]","[3.706354724547553, 3.660410433235073, 3.660385816938786, 3.608209073964234, 3.6069148733645746, 3.604134087289411, 3.5784910175266744, 3.5570586868112044, 3.5521028950593503, 3.548036846287276]"
219.0,[],"[750.0, 1198.0, 1206.0, 1219.0, 318.0, 912.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.186220720074333, 4.139324401809562, 4.138314390160803, 4.0881399112536645, 4.086561167742319, 4.086257034052823, 4.052997605946574, 4.040423155135203, 4.029883532274242, 4.026708307747457]"
68.0,"[122918.0, 6377.0]","[750.0, 1206.0, 1198.0, 1219.0, 912.0, 318.0, 1387.0, 7438.0, 1617.0, 4973.0]","[3.955945305597696, 3.9086755884477937, 3.908373641038041, 3.8586144799615325, 3.8567777247358648, 3.8533836748234065, 3.8234804462540963, 3.809334273870762, 3.7988088983825476, 3.7816474929700674]"
484.0,"[1917.0, 356.0, 500.0, 3809.0]","[750.0, 1198.0, 1206.0, 912.0, 1219.0, 318.0, 1387.0, 7438.0, 1617.0, 2858.0]","[4.6373042205510036, 4.591386391561672, 4.5901251202290485, 4.538842326043367, 4.5371377339020444, 4.53626553813824, 4.504626872555081, 4.488262374171017, 4.479590922083434, 4.47790480380222]"
