user_id,ground_truth,recommendations,scores
587.0,[2997.0],"[153.0, 3578.0, 1270.0, 4226.0, 1721.0, 1198.0, 5989.0, 1206.0, 62.0, 2858.0]","[0.002292046556249261, 0.0022665616124868393, 0.002249694662168622, 0.002211692277342081, 0.0021815523505210876, 0.002072148025035858, 0.0020656080450862646, 0.0020113736391067505, 0.0019803415052592754, 0.00197619223035872]"
590.0,"[1086.0, 2291.0, 3578.0, 2300.0, 924.0]","[3578.0, 153.0, 1270.0, 4226.0, 5989.0, 1198.0, 380.0, 1206.0, 2858.0, 62.0]","[0.0023877909407019615, 0.002342259045690298, 0.002317864680662751, 0.0022513368166983128, 0.0021235677413642406, 0.0021197961177676916, 0.0020523094572126865, 0.0020419321954250336, 0.0020145040471106768, 0.002012098440900445]"
339.0,"[7361.0, 92259.0, 139385.0, 1.0]","[3578.0, 153.0, 1270.0, 4226.0, 5989.0, 1198.0, 380.0, 1206.0, 62.0, 150.0]","[0.0024958262220025063, 0.002433920744806528, 0.002397767035290599, 0.0022950030397623777, 0.00218623667024076, 0.00214560329914093, 0.0021419476252049208, 0.0020815832540392876, 0.0020672588143497705, 0.002066120970994234]"
160.0,"[1183.0, 903.0]","[3578.0, 153.0, 1270.0, 4226.0, 1721.0, 1198.0, 5989.0, 2858.0, 380.0, 1206.0]","[0.002337815472856164, 0.00232353201135993, 0.0022683937568217516, 0.0022455446887761354, 0.002187279285863042, 0.0021030446514487267, 0.002090620808303356, 0.002026450354605913, 0.002020192099735141, 0.0020177923142910004]"
584.0,"[110.0, 196.0]","[153.0, 3578.0, 1270.0, 4226.0, 1721.0, 1198.0, 5989.0, 1206.0, 62.0, 380.0]","[0.0022935972083359957, 0.0022714438382536173, 0.002258755499497056, 0.002233977196738124, 0.002175261965021491, 0.0020752691198140383, 0.0020707449875772, 0.0020042185205966234, 0.0019983111415058374, 0.001990112941712141]"
19.0,[353.0],"[3578.0, 153.0, 1270.0, 4226.0, 1721.0, 5989.0, 1198.0, 2858.0, 62.0, 380.0]","[0.002308073453605175, 0.0022629848681390285, 0.0022251661866903305, 0.0022075751330703497, 0.0021370730828493834, 0.002110239351168275, 0.002086944179609418, 0.002004095586016774, 0.001981091918423772, 0.001976460451260209]"
275.0,"[1747.0, 246.0, 39.0]","[153.0, 3578.0, 1270.0, 4226.0, 1721.0, 1198.0, 5989.0, 1206.0, 62.0, 380.0]","[0.0023626848123967648, 0.0023278589360415936, 0.0023224607575684786, 0.002243664115667343, 0.002235569292679429, 0.002126367064192891, 0.002093228045850992, 0.002048071473836899, 0.002034921897575259, 0.002032317453995347]"
261.0,[4963.0],"[3578.0, 153.0, 1270.0, 4226.0, 1721.0, 1198.0, 1206.0, 2858.0, 62.0, 380.0]","[0.0022851014509797096, 0.002272586338222027, 0.002243203576654196, 0.002204668475314975, 0.0021696595940738916, 0.00207088072784245, 0.0019966966938227415, 0.0019750369247049093, 0.001973783830180764, 0.0019734189845621586]"
68.0,"[1704.0, 1258.0, 4963.0, 5620.0, 3448.0, 16.0]","[153.0, 3578.0, 1270.0, 4226.0, 1721.0, 1198.0, 380.0, 5989.0, 1206.0, 2858.0]","[0.002503644907847047, 0.0024850303307175636, 0.002433189656585455, 0.0023686285130679607, 0.0022895997390151024, 0.002205804456025362, 0.0021901444997638464, 0.0021418454125523567, 0.0021284720860421658, 0.0020982350688427687]"
325.0,[],"[153.0, 3578.0, 1270.0, 4226.0, 1721.0, 1198.0, 5989.0, 1206.0, 62.0, 2858.0]","[0.002310620155185461, 0.002305153990164399, 0.0022665676660835743, 0.0022307655308395624, 0.0021829872857779264, 0.0020838016644120216, 0.002073046285659075, 0.0020099394023418427, 0.0019995400216430426, 0.001996130682528019]"
