user_id,ground_truth,recommendations,scores
522.0,"[50.0, 59315.0]","[480.0, 377.0, 34.0, 1580.0, 1206.0, 733.0, 318.0, 91500.0, 7438.0, 1073.0]","[0.0019482574425637722, 0.0019363072933629155, 0.0019286635797470808, 0.0019103457452729344, 0.0018281533848494291, 0.0017447974532842636, 0.0017282874323427677, 0.0017225962365046144, 0.0016716161044314504, 0.0016673282952979207]"
369.0,[4226.0],"[480.0, 377.0, 34.0, 1206.0, 733.0, 91500.0, 318.0, 1073.0, 62.0, 7438.0]","[0.0019389643566682935, 0.0019344345200806856, 0.001931582810357213, 0.0018183052306994796, 0.0017671044915914536, 0.0017350777052342892, 0.0017348603578284383, 0.0016940399073064327, 0.0016847470542415977, 0.0016804527258500457]"
64.0,[4993.0],"[480.0, 1580.0, 34.0, 1206.0, 91500.0, 733.0, 527.0, 2710.0, 318.0, 79091.0]","[0.002071113558486104, 0.0020613798405975103, 0.002045068424195051, 0.0020199837163090706, 0.0019135538022965193, 0.001872955122962594, 0.0018332217587158084, 0.0017810993595048785, 0.0017779923509806395, 0.0017670519882813096]"
483.0,"[1080.0, 273.0, 2424.0, 1196.0]","[34.0, 480.0, 1580.0, 377.0, 1206.0, 733.0, 318.0, 91500.0, 527.0, 79091.0]","[0.0020375638268887997, 0.0020299991592764854, 0.0020030539017170668, 0.001967770280316472, 0.001911588478833437, 0.0018120213644579053, 0.0018069454235956073, 0.0017910996684804559, 0.0017461206298321486, 0.0017331312410533428]"
18.0,"[1617.0, 1196.0, 1721.0, 858.0]","[34.0, 480.0, 377.0, 1580.0, 1206.0, 733.0, 318.0, 91500.0, 1073.0, 527.0]","[0.0019912521820515394, 0.001960176508873701, 0.0019476149464026093, 0.0019241856643930078, 0.0018309666775166988, 0.001823458936996758, 0.001804043771699071, 0.0017321663908660412, 0.0017186087789013982, 0.0016922898357734084]"
136.0,[],"[480.0, 34.0, 377.0, 1580.0, 1206.0, 733.0, 318.0, 91500.0, 1073.0, 7438.0]","[0.001940511167049408, 0.0019319525454193354, 0.0019257259555161, 0.0019210963509976864, 0.0018146787770092487, 0.001760090352036059, 0.0017382956575602293, 0.001718604937195778, 0.0016852968838065863, 0.0016759990248829126]"
327.0,[1193.0],"[34.0, 480.0, 1580.0, 377.0, 1206.0, 733.0, 318.0, 91500.0, 1073.0, 7438.0]","[0.001925856457091868, 0.0019210169557482004, 0.0019186722347512841, 0.0019079145276919007, 0.001791902701370418, 0.0017378724878653884, 0.0017326074885204434, 0.001704865600913763, 0.001694745384156704, 0.0016715654637664557]"
27.0,[1210.0],"[377.0, 480.0, 34.0, 1580.0, 1206.0, 733.0, 318.0, 91500.0, 7438.0, 1073.0]","[0.0019289427436888218, 0.001925530144944787, 0.0019159640651196241, 0.001905903103761375, 0.001809726352803409, 0.0017274175770580769, 0.0017165174940600991, 0.0017015209887176752, 0.001660380745306611, 0.0016563732642680407]"
602.0,"[337.0, 474.0]","[480.0, 34.0, 377.0, 1580.0, 1206.0, 733.0, 318.0, 91500.0, 1073.0, 7438.0]","[0.0019394735572859645, 0.0019240683177486062, 0.0019207845907658339, 0.001894826302304864, 0.0018167513189837337, 0.001738453982397914, 0.00173046940471977, 0.0017020588275045156, 0.0016724818851798773, 0.0016678293468430638]"
177.0,"[3623.0, 520.0, 64957.0, 154.0, 2716.0]","[1580.0, 480.0, 34.0, 377.0, 1206.0, 318.0, 91500.0, 733.0, 7438.0, 1073.0]","[0.001983336405828595, 0.0019593716133385897, 0.0019433515844866633, 0.001940805115737021, 0.0018367621814832091, 0.0017755397129803896, 0.0017714455025270581, 0.0017651524394750595, 0.0017255301354452968, 0.0017159938579425216]"
17.0,[1213.0],"[480.0, 34.0, 377.0, 1580.0, 1206.0, 733.0, 91500.0, 318.0, 1073.0, 7438.0]","[0.0019502530340105295, 0.0019455603323876858, 0.0019381450256332755, 0.0019286617171019316, 0.001828036387450993, 0.0017518041422590613, 0.001729329931549728, 0.001724203466437757, 0.001684105023741722, 0.001674370258115232]"
